# Histogrammed data for fix 14
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
0 1180 9.90699e+08 0 1.25544 59.9865
1 1.025 0 0
2 1.075 0 0
3 1.125 0 0
4 1.175 0 0
5 1.225 0 0
6 1.275 5.10946e+08 0.515743
7 1.325 0 0
8 1.375 0 0
9 1.425 0 0
10 1.475 0 0
11 1.525 0 0
12 1.575 0 0
13 1.625 0 0
14 1.675 0 0
15 1.725 0 0
16 1.775 2.91914e+08 0.294655
17 1.825 0 0
18 1.875 0 0
19 1.925 0 0
20 1.975 0 0
21 2.025 0 0
22 2.075 0 0
23 2.125 0 0
24 2.175 7.65866e+07 0.0773057
25 2.225 0 0
26 2.275 0 0
27 2.325 0 0
28 2.375 0 0
29 2.425 0 0
30 2.475 0 0
31 2.525 2.02465e+07 0.0204366
32 2.575 0 0
33 2.625 0 0
34 2.675 0 0
35 2.725 0 0
36 2.775 0 0
37 2.825 3.72149e+07 0.0375643
38 2.875 0 0
39 2.925 0 0
40 2.975 0 0
41 3.025 0 0
42 3.075 2.06693e+07 0.0208634
43 3.125 0 0
44 3.175 0 0
45 3.225 0 0
46 3.275 0 0
47 3.325 0 0
48 3.375 0 0
49 3.425 0 0
50 3.475 0 0
51 3.525 0 0
52 3.575 1.82051e+06 0.0018376
53 3.625 0 0
54 3.675 0 0
55 3.725 0 0
56 3.775 4.37849e+06 0.0044196
57 3.825 0 0
58 3.875 0 0
59 3.925 0 0
60 3.975 2.10706e+06 0.00212684
61 4.025 0 0
62 4.075 0 0
63 4.125 0 0
64 4.175 1.34626e+06 0.0013589
65 4.225 0 0
66 4.275 0 0
67 4.325 345748 0.000348994
68 4.375 0 0
69 4.425 0 0
70 4.475 0 0
71 4.525 736667 0.000743584
72 4.575 0 0
73 4.625 0 0
74 4.675 1.14965e+06 0.00116044
75 4.725 0 0
76 4.775 0 0
77 4.825 0 0
78 4.875 0 0
79 4.925 0 0
80 4.975 0 0
81 5.025 171830 0.000173443
82 5.075 0 0
83 5.125 0 0
84 5.175 1.00313e+06 0.00101255
85 5.225 0 0
86 5.275 0 0
87 5.325 913781 0.00092236
88 5.375 0 0
89 5.425 0 0
90 5.475 454589 0.000458857
91 5.525 0 0
92 5.575 0 0
93 5.625 542852 0.000547949
94 5.675 0 0
95 5.725 0 0
96 5.775 875678 0.000883899
97 5.825 0 0
98 5.875 253248 0.000255625
99 5.925 0 0
100 5.975 0 0
101 6.025 0 0
102 6.075 0 0
103 6.125 0 0
104 6.175 322556 0.000325585
105 6.225 0 0
106 6.275 299619 0.000302432
107 6.325 0 0
108 6.375 0 0
109 6.425 671159 0.000677461
110 6.475 0 0
111 6.525 275519 0.000278105
112 6.575 0 0
113 6.625 0 0
114 6.675 0 0
115 6.725 0 0
116 6.775 570921 0.000576281
117 6.825 0 0
118 6.875 388722 0.000392371
119 6.925 0 0
120 6.975 0 0
121 7.025 0 0
122 7.075 0 0
123 7.125 35941.2 3.62787e-05
124 7.175 0 0
125 7.225 261562 0.000264018
126 7.275 0 0
127 7.325 214841 0.000216858
128 7.375 0 0
129 7.425 205985 0.000207919
130 7.475 0 0
131 7.525 84643.4 8.54381e-05
132 7.575 0 0
133 7.625 78425.5 7.91618e-05
134 7.675 0 0
135 7.725 329345 0.000332437
136 7.775 0 0
137 7.825 0 0
138 7.875 0 0
139 7.925 79258.9 8.0003e-05
140 7.975 0 0
141 8.025 327499 0.000330574
142 8.075 0 0
143 8.125 101185 0.000102135
144 8.175 0 0
145 8.225 70570.4 7.12329e-05
146 8.275 0 0
147 8.325 110365 0.000111401
148 8.375 0 0
149 8.425 164573 0.000166119
150 8.475 0 0
151 8.525 121012 0.000122148
152 8.575 0 0
153 8.625 0 0
154 8.675 0 0
155 8.725 24365.9 2.45946e-05
156 8.775 121097 0.000122233
157 8.825 0 0
158 8.875 160912 0.000162423
159 8.925 0 0
160 8.975 108476 0.000109495
161 9.025 0 0
162 9.075 36879 3.72252e-05
163 9.125 117215 0.000118316
164 9.175 0 0
165 9.225 174762 0.000176403
166 9.275 0 0
167 9.325 0 0
168 9.375 0 0
169 9.425 71070.8 7.17381e-05
170 9.475 68887.1 6.95339e-05
171 9.525 0 0
172 9.575 25953.7 2.61973e-05
173 9.625 0 0
174 9.675 90477.9 9.13273e-05
175 9.725 0 0
176 9.775 0 0
177 9.825 84267.4 8.50585e-05
178 9.875 124177 0.000125343
179 9.925 0 0
180 9.975 0 0
181 10.025 0 0
182 10.075 11050 1.11537e-05
183 10.125 145229 0.000146592
184 10.175 0 0
185 10.225 89581.9 9.0423e-05
186 10.275 28130.9 2.8395e-05
187 10.325 0 0
188 10.375 45477.5 4.59045e-05
189 10.425 88969.3 8.98046e-05
190 10.475 0 0
191 10.525 54887.8 5.54031e-05
192 10.575 0 0
193 10.625 0 0
194 10.675 32182 3.24841e-05
195 10.725 43719 4.41295e-05
196 10.775 0 0
197 10.825 118001 0.000119108
198 10.875 46312 4.67468e-05
199 10.925 0 0
200 10.975 27280 2.75361e-05
201 11.025 74241 7.4938e-05
202 11.075 0 0
203 11.125 45010 4.54326e-05
204 11.175 0 0
205 11.225 10934.4 1.1037e-05
206 11.275 0 0
207 11.325 73216.4 7.39038e-05
208 11.375 52689.2 5.31838e-05
209 11.425 0 0
210 11.475 71430.6 7.21012e-05
211 11.525 30760.5 3.10493e-05
212 11.575 36367 3.67084e-05
213 11.625 0 0
214 11.675 89655.9 9.04977e-05
215 11.725 0 0
